k_parameter
0.2158
0.1966
0.4935
0.6629
0.3142
0.1873
0.299
0.1439
0.3126
0.3549
0.2369
0.2241
0.4169
0.4227
0.3365
0.828
0.4268
0.36
0.1733
0.6135
0.1725
0.2147
0.2646
0.4919
0.3337
0.1361
0.2934
0.6592
0.2171
0.1436
0.2663
0.5406
0.2353
0.4637
0.5345
0.5102
0.3186
0.4171
0.4303
0.4423
0.237
0.2497
0.2828
0.5848
0.2958
