n_solved
39
14
14
41
14
23
15
9
6
12
9
15
29
15
14
24
18
15
16
24
17
36
17
10
7
9
11
10
21
23
21
20
10
13
18
16
12
8
16
9
31
24
13
8
10
7
13
20
11
17
16
10
22
18
15
19
13
25
17
23
22
12
36
13
13
14
13
21
9
13
11
16
19
17
27
12
14
16
20
6
14
21
20
18
16
14
16
24
8
25
29
32
9
16
30
31
26
25
19
11
24
32
25
11
13
16
23
8
18
28
8
15
21
15
19
27
9
29
7
22
16
9
14
10
17
13
17
25
34
9
11
32
11
15
16
5
18
13
5
8
10
8
0
27
9
10
11
13
4
15
21
22
12
26
21
5
18
23
24
36
14
17
18
18
15
34
14
9
14
22
14
30
6
12
11
13
6
29
7
26
12
16
25
12
14
23
26
12
12
15
8
21
32
8
23
19
26
27
19
28
17
16
15
16
16
9
29
10
14
28
15
32
11
23
19
15
15
21
14
8
20
17
11
19
9
14
34
11
11
15
12
25
14
34
21
17
12
14
22
30
16
21
9
27
25
15
15
15
11
14
17
31
7
13
17
39
27
27
21
24
30
20
9
32
32
18
25
14
17
12
4
13
11
21
17
11
12
7
16
24
11
11
11
25
11
23
5
18
9
13
21
12
14
28
22
13
14
20
21
11
15
22
14
15
15
21
27
8
16
24
11
8
14
12
10
18
23
23
15
12
14
9
21
25
31
14
14
20
29
21
13
16
9
22
33
7
15
17
7
11
7
34
22
17
22
11
15
15
11
23
12
30
18
10
15
27
27
10
13
11
15
16
19
22
24
12
11
5
23
24
14
27
14
9
35
11
6
20
24
36
20
11
35
18
21
14
17
11
24
23
12
15
17
9
21
37
28
24
10
12
9
14
16
13
22
15
13
7
23
10
9
29
11
11
21
14
17
8
6
6
29
11
19
21
8
13
35
29
12
9
19
31
14
17
17
22
35
12
39
23
35
19
13
19
18
15
14
28
14
20
9
38
12
5
22
15
14
16
33
36
13
9
16
23
13
22
24
17
36
15
30
19
32
7
7
12
25
11
23
14
39
13
17
12
14
8
18
27
16
12
25
17
8
28
12
22
14
12
15
6
21
40
26
10
24
8
26
22
13
7
35
10
26
26
29
8
23
32
16
15
21
29
28
22
9
12
30
23
11
33
6
26
6
15
16
15
21
12
19
15
10
15
28
15
14
17
7
22
20
19
8
20
4
23
16
13
4
22
14
26
14
14
8
13
27
31
11
16
15
23
13
6
29
11
30
5
24
22
19
23
12
19
18
14
15
13
17
14
11
20
19
21
14
8
13
14
19
12
14
14
21
14
9
28
9
14
12
13
23
15
38
32
31
36
11
32
18
22
14
10
14
16
5
13
22
12
12
30
30
12
15
24
9
26
16
22
21
20
12
16
11
30
13
12
15
20
11
9
24
20
9
13
12
18
11
10
22
14
18
8
26
31
16
23
7
33
15
13
13
8
18
11
19
23
36
25
10
10
17
23
8
15
19
28
16
25
14
33
13
16
13
15
15
13
14
8
8
9
29
20
11
11
9
16
20
18
13
16
10
13
14
24
37
16
11
10
22
21
11
18
20
15
32
19
30
19
24
27
14
11
11
32
37
19
16
18
27
24
23
27
18
16
35
10
15
5
18
18
8
12
13
28
11
11
25
12
24
21
18
10
22
9
39
35
17
15
35
15
29
16
28
28
18
22
12
14
9
8
13
13
27
5
23
27
25
18
14
26
22
23
11
3
10
15
32
12
22
18
11
13
18
13
13
30
12
19
30
11
23
17
30
17
12
10
15
8
8
20
22
19
20
20
16
6
32
10
10
10
29
11
11
39
27
20
24
20
0
17
21
19
16
26
12
18
18
12
9
16
5
23
18
13
9
10
9
22
17
21
20
18
13
10
16
12
7
27
19
30
10
21
16
16
27
10
11
20
9
11
11
14
27
9
23
12
32
16
18
17
33
31
10
11
15
15
29
11
17
36
15
29
22
17
22
9
26
13
8
36
16
14
21
29
11
19
9
33
10
17
33
13
27
34
8
33
17
9
20
13
11
25
7
13
27
31
31
24
36
10
34
12
22
13
22
15
16
8
20
23
10
25
16
12
11
13
25
22
23
32
9
35
17
10
11
10
30
39
26
16
16
6
21
11
23
20
16
25
12
23
15
12
6
16
17
42
19
14
19
15
36
29
10
33
40
25
16
7
14
16
17
12
20
32
19
20
16
33
19
12
9
18
24
8
20
23
17
13
15
14
22
27
9
12
22
12
23
11
22
10
15
9
8
21
18
18
35
10
9
22
15
6
22
7
11
16
23
22
19
28
11
13
22
22
28
36
11
28
8
13
16
8
23
15
16
18
11
20
26
37
24
13
16
25
21
16
18
23
11
24
6
11
25
7
12
19
9
13
24
22
13
7
27
27
22
6
14
15
11
11
19
13
14
25
32
11
19
39
25
22
35
12
14
29
13
20
18
14
32
10
12
16
13
18
9
16
30
11
16
9
28
14
14
22
17
24
16
18
11
17
14
9
11
10
4
6
13
12
8
18
30
5
9
13
22
5
29
28
23
18
13
6
19
25
13
12
8
24
20
11
32
29
9
9
15
9
32
35
14
18
10
7
17
23
12
24
18
7
9
18
8
15
23
12
16
21
25
10
29
22
5
14
17
23
12
39
11
18
11
16
22
5
8
8
13
10
12
27
11
12
17
10
22
10
13
10
23
10
9
13
11
13
21
25
20
19
17
6
10
40
23
12
19
10
9
14
17
16
17
11
17
20
18
20
20
10
16
14
6
21
19
20
20
4
14
8
15
12
20
19
9
11
17
20
13
11
13
13
7
9
18
21
14
16
24
16
9
33
15
17
7
13
15
15
16
11
26
12
19
7
9
10
30
17
10
18
10
13
5
27
13
14
19
13
28
10
6
8
31
15
13
14
29
10
18
10
14
17
23
22
3
11
20
19
18
13
10
20
24
20
8
11
18
18
14
33
11
19
22
22
12
13
18
12
15
24
17
25
30
21
11
19
12
13
14
29
32
42
11
11
17
28
15
11
17
26
9
18
11
11
12
20
11
19
10
17
27
13
11
34
20
13
13
13
9
10
